dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:11 2021'), ('position', (11.73, 45.32, 0.0)), ('rssi', -63.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:12 2021'), ('position', (11.33, 46.04, 0.0)), ('rssi', -64.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:13 2021'), ('position', (10.94, 46.76, 0.0)), ('rssi', -65.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:14 2021'), ('position', (10.55, 47.48, 0.0)), ('rssi', -66.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:15 2021'), ('position', (10.16, 48.21, 0.0)), ('rssi', -67.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:16 2021'), ('position', (9.76, 48.93, 0.0)), ('rssi', -67.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:17 2021'), ('position', (9.37, 49.65, 0.0)), ('rssi', -68.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:18 2021'), ('position', (8.98, 50.37, 0.0)), ('rssi', -69.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:19 2021'), ('position', (8.59, 51.09, 0.0)), ('rssi', -69.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:20 2021'), ('position', (8.19, 51.82, 0.0)), ('rssi', -70.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:21 2021'), ('position', (7.8, 52.54, 0.0)), ('rssi', -70.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:22 2021'), ('position', (7.41, 53.26, 0.0)), ('rssi', -71.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:23 2021'), ('position', (7.02, 53.98, 0.0)), ('rssi', -72.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:24 2021'), ('position', (6.63, 54.7, 0.0)), ('rssi', -72.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:25 2021'), ('position', (6.23, 55.43, 0.0)), ('rssi', -73.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:26 2021'), ('position', (5.84, 56.15, 0.0)), ('rssi', -73.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:27 2021'), ('position', (5.45, 56.87, 0.0)), ('rssi', -74.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:28 2021'), ('position', (5.06, 57.59, 0.0)), ('rssi', -74.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:29 2021'), ('position', (4.66, 58.32, 0.0)), ('rssi', -75.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:31 2021'), ('position', (4.27, 59.04, 0.0)), ('rssi', -75.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:32 2021'), ('position', (3.88, 59.76, 0.0)), ('rssi', -76.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:33 2021'), ('position', (3.49, 60.48, 0.0)), ('rssi', -76.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:34 2021'), ('position', (3.09, 61.2, 0.0)), ('rssi', -76.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:35 2021'), ('position', (2.7, 61.93, 0.0)), ('rssi', -77.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:36 2021'), ('position', (2.31, 62.65, 0.0)), ('rssi', -77.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:37 2021'), ('position', (1.92, 63.37, 0.0)), ('rssi', -78.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:38 2021'), ('position', (1.53, 64.09, 0.0)), ('rssi', -78.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:39 2021'), ('position', (1.13, 64.81, 0.0)), ('rssi', -78.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:40 2021'), ('position', (0.74, 65.54, 0.0)), ('rssi', -79.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:41 2021'), ('position', (0.35, 66.26, 0.0)), ('rssi', -79.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:42 2021'), ('position', (0.04, 66.98, 0.0)), ('rssi', -80.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:43 2021'), ('position', (0.44, 67.7, 0.0)), ('rssi', -80.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:44 2021'), ('position', (0.83, 68.42, 0.0)), ('rssi', -80.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:45 2021'), ('position', (1.22, 69.15, 0.0)), ('rssi', -80.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:46 2021'), ('position', (1.61, 69.87, 0.0)), ('rssi', -80.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:47 2021'), ('position', (2.01, 70.59, 0.0)), ('rssi', -81.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:48 2021'), ('position', (2.4, 71.31, 0.0)), ('rssi', -81.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:49 2021'), ('position', (2.79, 72.04, 0.0)), ('rssi', -81.0)])
dict_items([('node', 'sta2-wlan0'), ('timestamp', 'Sun Nov 21 17:51:50 2021'), ('position', (3.18, 72.76, 0.0)), ('rssi', -81.0)])
